nombre;lon;lat;unidades
Casa de Piedra;-669.836.778.535.492;-382.360.587.226.759; 1.506,31   
Casa Grande;-64.478.139.337.956;-311.582.887.825.211; 1.521,37   
Casalegno;-611.341.439.605.742;-322.547.015.045.604; 1.536,59   
Casas;-61.571.784.017.754;-321.577.234.516.421; 1.551,95   
Casilda;-611.906.668.618.458;-330.496.734.903.785; 1.567,47   
Caspal«≠;-65.083.177.753.117;-233.446.317.099.678; 1.583,15   
Castelar;-621.125.286.445.482;-316.768.829.436.233;110
Castellanos;-617.393.661.969.737;-311.589.792.060.729; 111,10   
Castelli;-576.570.625.693.146;-360.416.694.003.038; 112,21   
Castro Barros;-669.185.847.556.269;-288.599.829.479.001; 113,33   
Catriel;-678.278.538.596.389;-378.531.255.573.185; 114,47   
Catril«¸;-634.792.036.669.961;-364.566.752.503.384; 115,61   
Catua;-669.591.888.909.713;-236.601.037.261.503; 116,77   
Caucete;-675.458.594.420.525;-315.063.817.025.853; 117,93   
Cavanagh;-623.387.928.906.849;-33.477.401.802.254; 119,11   
Caviahue-Copahue;-710.450.198.744.787;-378.563.623.456.879; 120,31   
Cavour;-609.954.046.960.922;-313.872.673.145.398; 121,51   
Cayast«≠;-602.433.549.075.188;-312.269.237.197.361; 122,72   
Cayastacito;-604.956.435.325.687;-311.132.405.530.218; 123,95   
Ceballos;-63.811.007.312.856;-352.627.176.594.077; 125,19   
Centenario;-681.756.656.510.973;-387.973.834.665.027; 126,44   
Centeno;-613.879.286.384.755;-322.799.048.994.369; 127,71   
Cepeda;-605.863.509.794.203;-334.041.900.910.833; 128,98   
Ceres;-619.210.332.082.824;-298.518.920.386.987; 130,27   
Cerrillos;-654.227.277.758.729;-249.165.899.415.056; 131,58   
Cerro Azul;-555.134.640.126.559;-276.492.686.317.995; 132,89   
Cerro Centinela;-716.090.756.854.463;-434.623.262.308.252; 134,22   
Cerro Colorado;-63.930.831.634.537;-301.019.030.224.683; 135,56   
Cerro Cor«≠;-55.602.078.795.522;-275.269.569.187.276; 136,92   
Cervantes;-674.340.737.678.692;-390.497.340.068.548; 138,29   
Cevil Redondo;-653.082.018.325.489;-267.604.186.617.388; 139,67   
Cha«Òar Ladeado;-620.036.810.567.071;-333.079.861.342.604; 141,07   
Cha«Òar Viejo;-638.514.999.217.488;-299.924.994.136.235; 142,48   
Chabas;-613.642.886.237.022;-332.624.921.319.241; 143,90   
Chacabuco;-603.539.279.007.252;-346.184.039.263.126; 145,34   
Chacharramendi;-65.704.436.584.826;-372.319.839.948.442; 146,80   
Chaj«≠n;-650.045.692.987.122;-335.562.216.707.363; 148,26   
Chalacea;-635.769.184.254.782;-307.632.052.336.575; 149,75   
Chamical;-659.562.869.452.052;-301.677.065.304.375; 151,24   
Chancan«;-654.541.355.537.761;-314.141.204.299.092; 152,76   
Chapuy;-617.629.859.351.878;-338.060.370.663.112; 154,28   
Charadai;-599.622.820.759.441;-276.443.129.888.649; 155,83   
Charata;-613.088.910.559.238;-271.179.308.914.952; 157,38   
Charbonier;-645.633.540.903.801;-307.610.604.781.622; 158,96   
Charras;-640.481.926.881.725;-330.231.292.173.334; 160,55   
Chascom«ßs;-579.043.202.817.549;-356.187.689.428.966; 162,15   
Chavarr«a;-585.191.731.993.606;-288.781.231.135.238; 163,78   
Chaz«¸n;-632.744.840.417.554;-330.779.841.520.433; 165,41   
Chichinales;-669.499.547.671.551;-391.295.006.214.718; 167,07   
Chicoana;-656.740.171.346.466;-2.515.962.281.326; 168,74   
Chilecito;-674.278.867.892.017;-293.959.374.753.196; 170,42   
Chilibroste;-625.134.148.309.413;-323.326.918.177.426; 172,13   
Chimbas;-685.239.289.662.613;-314.874.196.948.621; 173,85   
Chimpay;-661.547.548.307.705;-391.593.568.616.365; 175,59   
Chipauquil;-666.618.073.695.211;-409.951.090.361.059; 177,34   
Chivilcoy;-599.584.822.196.811;-349.157.089.757.004; 179,12   
Choele Choel;-656.496.694.401.313;-392.954.108.986.731; 180,91   
Cholila;-714.218.533.427.071;-42.482.632.829.529; 182,72   
Choromoro;-654.177.004.347.269;-264.504.412.818.447; 184,55   
Chorotis;-615.412.578.288.586;-27.880.944.092.613; 186,39   
Chorriaca;-700.460.883.788.548;-379.190.485.298.909; 188,26   
Chos Malal;-702.702.475.118.703;-373.551.399.423.083; 190,14   
Chovet;-61.650.449.190.212;-335.498.667.445.692; 192,04   
Christophersen;-620.669.267.336.755;-341.766.468.939.857; 193,96   
Chu«Òa;-646.415.044.577.514;-304.549.727.642.068; 195,90   
Chu«Òa Huasi;-641.260.864.027.201;-298.939.402.837.581; 197,86   
Chucul;-641.704.416.685.286;-330.108.482.213.758; 199,84   
Churqui Ca«Òada;-63.938.667.533.284;-302.150.807.804.174; 201,84   
Ci«∏naga del Coro;-652.173.529.646.248;-310.053.157.543.172; 203,85   
Cieneguillas;-659.419.011.195.485;-221.254.725.215.271; 205,89   
Ciervo Petiso;-596.216.044.052.429;-265.687.607.509.274; 207,95   
Cinco Saltos;-680.660.751.980.812;-388.117.033.664.373; 210,03   
Cintra;-626.517.297.624.238;-323.087.285.653.744; 212,13   
Cipolletti;-68.691.867.486.588;-394.535.226.486.066; 214,25   
Ciudacita;-654.190.456.907.457;-274.421.855.913.349; 216,39   
Clason;-613.490.127.009.324;-324.901.170.251.452; 218,56   
Clemente Onelli;-700.751.620.437.645;-412.742.447.606.359; 220,74   
Clorinda;-577.505.249.001.674;-253.365.444.793.712; 222,95   
Col«¸n;-61.063.367.492.517;-338.860.220.920.301; 225,18   
Colalao del Valle;-660.630.265.040.008;-264.289.475.639.879; 227,43   
Colan Conhu«∏;-690.264.752.767.975;-406.523.873.505.042; 229,71   
Colan Conhu«∏;-700.165.928.358.279;-43.256.967.210.358; 232,00   
Colazo;-633.815.414.522.131;-319.618.836.173.473; 234,32   
Colombres;-65.070.141.646.709;-268.923.611.719.294; 236,67   
Colonia Alberdi;-552.012.287.052.642;-273.573.476.620.484; 239,03   
Colonia Aldao;-617.400.552.024.928;-309.857.555.355.997; 241,42   
Colonia Almada;-638.637.834.613.237;-320.344.936.485.779; 243,84   
Colonia Ana;-619.664.060.985.721;-301.298.954.613.317; 246,28   
Colonia Anita;-622.342.507.930.804;-311.210.986.173.448; 248,74   
Colonia Aurora;-544.485.723.077.611;-273.576.371.079.952; 251,23   
Colonia Bar«¸n;-638.361.884.288.236;-362.070.971.406.291; 253,74   
Colonia Barge;-626.074.772.843.903;-332.560.592.578.889; 256,28   
Colonia Belgrano;-614.215.393.124.086;-319.541.122.826.773; 258,84   
Colonia Benitez;-588.542.427.774.583;-273.100.638.470.581; 261,43   
Colonia Bicha;-618.404.933.743.742;-308.610.047.560.586; 264,04   
Colonia Bigand;-617.175.552.473.553;-310.667.175.033.934; 266,68   
Colonia Bismarck;-627.159.959.455.752;-333.005.078.918.635; 269,35   
Colonia Bossi;-61.787.779.170.748;-30.672.596.230.631; 272,04   
Colonia Bremen;-62.730.992.323.301;-334.634.143.562.878; 274,76   
Colonia Carlos Pellegrini;-569.796.607.997.166;-285.228.171.265.396; 277,51   
Colonia Caroya;-640.859.537.870.841;-310.541.541.597.821; 280,29   
Colonia Cello;-618.690.954.995.392;-31.442.922.092.944; 283,09   
Colonia Delicia;-543.968.718.901.781;-262.054.681.649.102; 285,92   
Colonia Dolores;-603.043.525.398.223;-304.046.798.589.182; 288,78   
Colonia Dur«≠n;-599.664.905.411.715;-29.571.398.543.623; 291,67   
Colonia Italiana;-621.813.642.349.834;-333.065.740.201.285; 294,58   
Colonia Iturraspe;-62.111.193.657.276;-312.076.433.233.757; 297,53   
Colonia Iturraspe;-616.182.940.033.775;-314.872.374.386.429; 300,50   
Colonia la Clara;-610.654.579.387.359;-305.475.134.914.914; 303,51   
Colonia las Cuatro Esquinas;-632.243.244.282.166;-312.036.266.461.889; 306,54   
Colonia las Pichanas;-629.366.942.797.858;-313.039.964.065.618; 309,61   
Colonia Libertad;-578.975.786.393.603;-299.598.593.070.437; 312,71   
Colonia Liebig'S;-560.569.867.005.655;-277.796.475.708.551; 315,83   
Colonia Margarita;-616.520.048.498.336;-316.832.565.715.807; 318,99   
Colonia Marina;-623.626.031.807.013;-312.488.859.057.542; 322,18   
Colonia Mascias;-599.651.810.585.308;-307.725.602.238.069; 325,40   
Colonia Pando;-584.395.314.723.756;-284.636.196.386.948; 328,66   
Colonia Pastoril;-582.668.101.771.917;-256.835.261.933.357; 331,94   
Colonia Polana;-553.166.124.203.083;-270.078.976.283.378; 335,26   
Colonia Popular;-591.285.309.815.476;-272.943.327.258.119; 338,62   
Colonia Prosperidad;-623.816.472.058.384;-316.255.205.424.057; 342,00   
Colonia Raquel;-615.053.825.202.058;-308.228.701.986.045; 345,42   
Colonia Rosa;-620.294.040.965.481;-303.193.186.985.736; 348,88   
